"pos","last","first","numfirstlast","firstlast","index","player.id","pC","pL","pR","pD","pG"
"C","Desjardins","Andrew","10 ANDREW DESJARDINS","Andrew Desjardins",69,69,1,0,0,0,0
"D","Hannan","Scott","27 SCOTT HANNAN","Scott Hannan",70,70,0,0,0,2,0
"C","Hertl","Tomas","48 TOMAS HERTL","Tomas Hertl",71,71,2,0,0,0,0
"D","Irwin","Matt","52 MATT IRWIN","Matt Irwin",72,72,0,0,0,2,0
"C","Marleau","Patrick","12 PATRICK MARLEAU","Patrick Marleau",73,73,2,0,0,0,0
"L","McGinn","Tye","25 TYE MCGINN","Tye McGinn",74,74,0,1,0,0,0
"G","Niemi","Antti","31 ANTTI NIEMI","Antti Niemi",75,75,0,0,0,0,2
"L","Nieto","Matt","83 MATT NIETO","Matt Nieto",76,76,0,2,0,0,0
"C","Pavelski","Joe","8 JOE PAVELSKI","Joe Pavelski",77,77,2,0,0,0,0
"L","Scott","John","20 JOHN SCOTT","John Scott",78,78,0,2,0,0,0
"G","Stalock","Alex","32 ALEX STALOCK","Alex Stalock",79,79,0,0,0,0,2
"C","Thornton","Joe","19 JOE THORNTON","Joe Thornton",80,80,2,0,0,0,0
"C","Tierney","Chris","50 CHRIS TIERNEY","Chris Tierney",81,81,2,0,0,0,0
"D","Vlasic","Marc-Edouard","44 MARC-EDOUARD VLASIC","Marc-Edouard Vlasic",82,82,0,0,0,1,0
"C","Wingels","Tommy","57 TOMMY WINGELS","Tommy Wingels",83,83,2,0,0,0,0
"L","Cammalleri","Mike","23 MIKE CAMMALLERI","Mike Cammalleri",84,84,0,4,0,0,0
"G","Clemmensen","Scott","40 SCOTT CLEMMENSEN","Scott Clemmensen",85,85,0,0,0,0,2
"L","Clowe","Ryane","29 RYANE CLOWE","Ryane Clowe",86,86,0,1,0,0,0
"L","Elias","Patrik","26 PATRIK ELIAS","Patrik Elias",87,87,0,5,0,0,0
"D","Gelinas","Eric","22 ERIC GELINAS","Eric Gelinas",88,88,0,0,0,5,0
"R","Gionta","Stephen","11 STEPHEN GIONTA","Stephen Gionta",89,89,0,0,5,0,0
"D","Greene","Andrew","6 ANDY GREENE","Andrew Greene",90,90,0,0,0,5,0
"R","Havlat","Martin","9 MARTIN HAVLAT","Martin Havlat",91,91,0,0,3,0,0
"C","Henrique","Adam","14 ADAM HENRIQUE","Adam Henrique",92,92,4,0,0,0,0
"R","Jagr","Jaromir","68 JAROMIR JAGR","Jaromir Jagr",93,93,0,0,4,0,0
"D","Merrill","Jon","7 JON MERRILL","Jon Merrill",94,94,0,0,0,4,0
"R","Ruutu","Tuomo","15 TUOMO RUUTU","Tuomo Ruutu",95,95,0,0,5,0,0
"R","Ryder","Michael","17 MICHAEL RYDER","Michael Ryder",96,96,0,0,3,0,0
"D","Salvador","Bryce","24 BRYCE SALVADOR","Bryce Salvador",97,97,0,0,0,1,0
"G","Schneider","Cory","35 CORY SCHNEIDER","Cory Schneider",98,98,0,0,0,0,5
"D","Severson","Damon","28 DAMON SEVERSON","Damon Severson",99,99,0,0,0,4,0
"R","Tootoo","Jordin","20 JORDIN TOOTOO","Jordin Tootoo",100,100,0,0,5,0,0
"C","Zajac","Travis","19 TRAVIS ZAJAC","Travis Zajac",101,101,4,0,0,0,0
"D","Zidlicky","Marek","2 MAREK ZIDLICKY","Marek Zidlicky",102,102,0,0,0,4,0
"C","Zubrus","Dainius","8 DAINIUS ZUBRUS","Dainius Zubrus",103,103,4,0,0,0,0
"C","Barkov","Aleksander","16 ALEKSANDER BARKOV","Aleksander Barkov",104,104,3,0,0,0,0
"L","Bergenheim","Sean","20 SEAN BERGENHEIM","Sean Bergenheim",105,105,0,3,0,0,0
"C","Bjugstad","Nick","27 NICK BJUGSTAD","Nick Bjugstad",106,106,3,0,0,0,0
"R","Boyes","Brad","24 BRAD BOYES","Brad Boyes",107,107,0,0,3,0,0
"D","Campbell","Brian","51 BRIAN CAMPBELL","Brian Campbell",108,108,0,0,0,3,0
"D","Ekblad","Aaron","5 AARON EKBLAD","Aaron Ekblad",109,109,0,0,0,3,0
"L","Fleischmann","Tomas","14 TOMAS FLEISCHMANN","Tomas Fleischmann",110,110,0,2,0,0,0
"D","Gudbranson","Erik","44 ERIK GUDBRANSON","Erik Gudbranson",111,111,0,0,0,2,0
"C","Huberdeau","Jonathan","11 JONATHAN HUBERDEAU","Jonathan Huberdeau",112,112,3,0,0,0,0
"L","Jokinen","Jussi","36 JUSSI JOKINEN","Jussi Jokinen",113,113,0,3,0,0,0
"R","Kopecky","Tomas","82 TOMAS KOPECKY","Tomas Kopecky",114,114,0,0,2,0,0
"D","Kulikov","Dmitry","7 DMITRY KULIKOV","Dmitry Kulikov",115,115,0,0,0,3,0
"G","Luongo","Roberto","1 ROBERTO LUONGO","Roberto Luongo",116,116,0,0,0,0,3
"C","MacKenzie","Derek","17 DEREK MACKENZIE","Derek MacKenzie",117,117,3,0,0,0,0
"D","Mitchell","Willie","33 WILLIE MITCHELL","Willie Mitchell",118,118,0,0,0,3,0
"G","Montoya","Al","35 AL MONTOYA","Al Montoya",119,119,0,0,0,0,3
"D","Olsen","Dylan","4 DYLAN OLSEN","Dylan Olsen",120,120,0,0,0,3,0
"C","Pirri","Brandon","73 BRANDON PIRRI","Brandon Pirri",121,121,2,0,0,0,0
"L","Thornton","Shawn","22 SHAWN THORNTON","Shawn Thornton",122,122,0,1,0,0,0
"R","Upshall","Scottie","19 SCOTTIE UPSHALL","Scottie Upshall",123,123,0,0,3,0,0
"R","Arcobello","Mark","26 MARK ARCOBELLO","Mark Arcobello",124,124,0,0,1,0,0
"G","Bachman","Richard","32 RICHARD BACHMAN","Richard Bachman",125,125,0,0,0,0,1
"C","Beagle","Jay","83 JAY BEAGLE","Jay Beagle",126,126,62,0,0,0,0
"C","Draisaitl","Leon","29 LEON DRAISAITL","Leon Draisaitl",127,127,1,0,0,0,0
"C","Eberle","Jordan","14 JORDAN EBERLE","Jordan Eberle",128,128,2,0,0,0,0
"D","Fayne","Mark","5 MARK FAYNE","Mark Fayne",129,129,0,0,0,2,0
"D","Ference","Andrew","21 ANDREW FERENCE","Andrew Ference",130,130,0,0,0,2,0
"C","Gordon","Boyd","27 BOYD GORDON","Boyd Gordon",131,131,2,0,0,0,0
"L","Hall","Taylor","4 TAYLOR HALL","Taylor Hall",132,132,0,2,0,0,0
"C","Hendricks","Matt","23 MATT HENDRICKS","Matt Hendricks",133,133,2,0,0,0,0
"L","Joensuu","Jesse","6 JESSE JOENSUU","Jesse Joensuu",134,134,0,1,0,0,0
"D","Marincin","Martin","85 MARTIN MARINCIN","Martin Marincin",135,135,0,0,0,1,0
"D","Nikitin","Nikita","86 NIKITA NIKITIN","Nikita Nikitin",136,136,0,0,0,2,0
"C","Nugent-Hopkins","Ryan","93 RYAN NUGENT-HOPKINS","Ryan Nugent-Hopkins",137,137,2,0,0,0,0
"L","Perron","David","57 DAVID PERRON","David Perron",138,138,0,1,0,0,0
"D","Petry","Jeff","2 JEFF PETRY","Jeff Petry",139,139,0,0,0,2,0
"L","Pouliot","Benoit","67 BENOIT POULIOT","Benoit Pouliot",140,140,0,2,0,0,0
"R","Purcell","Teddy","16 TEDDY PURCELL","Teddy Purcell",141,141,0,0,2,0,0
"D","Schultz","Justin","19 JUSTIN SCHULTZ","Justin Schultz",142,142,0,0,0,2,0
"G","Scrivens","Ben","30 BEN SCRIVENS","Ben Scrivens",143,143,0,0,0,0,2
"R","Yakupov","Nail","10 NAIL YAKUPOV","Nail Yakupov",144,144,0,0,2,0,0
"C","Backlund","Mikael","11 MIKAEL BACKLUND","Mikael Backlund",145,145,1,0,0,0,0
"L","Bollig","Brandon","25 BRANDON BOLLIG","Brandon Bollig",146,146,0,2,0,0,0
"L","Bouma","Lance","17 LANCE BOUMA","Lance Bouma",147,147,0,2,0,0,0
"D","Brodie","T.j.","7 TJ BRODIE","T.j. Brodie",148,148,0,0,0,2,0
"L","Byron","Paul","32 PAUL BYRON","Paul Byron",149,149,0,2,0,0,0
"C","Colborne","Joe","8 JOE COLBORNE","Joe Colborne",150,150,1,0,0,0,0
"D","Engelland","Deryk","29 DERYK ENGELLAND","Deryk Engelland",151,151,0,0,0,2,0
"L","Gaudreau","Johnny","13 JOHNNY GAUDREAU","Johnny Gaudreau",152,152,0,2,0,0,0
"D","Giordano","Mark","5 MARK GIORDANO","Mark Giordano",153,153,0,0,0,2,0
"L","Glencross","Curtis","20 CURTIS GLENCROSS","Curtis Glencross",154,154,0,2,0,0,0
"G","Hiller","Jonas","1 JONAS HILLER","Jonas Hiller",155,155,0,0,0,0,2
"R","Hudler","Jiri","24 JIRI HUDLER","Jiri Hudler",156,156,0,0,2,0,0
"R","Jooris","Josh","86 JOSH JOORIS","Josh Jooris",157,157,0,0,2,0,0
"C","Monahan","Sean","23 SEAN MONAHAN","Sean Monahan",158,158,2,0,0,0,0
"G","Ramo","Karri","31 KARRI RAMO","Karri Ramo",159,159,0,0,0,0,2
"L","Raymond","Mason","21 MASON RAYMOND","Mason Raymond",160,160,0,1,0,0,0
"D","Russell","Kris","4 KRIS RUSSELL","Kris Russell",161,161,0,0,0,2,0
"D","Smid","Ladislav","15 LADISLAV SMID","Ladislav Smid",162,162,0,0,0,2,0
"C","Stajan","Matt","18 MATT STAJAN","Matt Stajan",163,163,1,0,0,0,0
"D","Wideman","Dennis","6 DENNIS WIDEMAN","Dennis Wideman",164,164,0,0,0,2,0
"D","Bieksa","Kevin","3 KEVIN BIEKSA","Kevin Bieksa",165,165,0,0,0,2,0
"C","Bonino","Nick","13 NICK BONINO","Nick Bonino",166,166,2,0,0,0,0
"L","Burrows","Alex","14 ALEXANDRE BURROWS","Alex Burrows",167,167,0,2,0,0,0
"R","Dorsett","Derek","51 DEREK DORSETT","Derek Dorsett",168,168,0,0,2,0,0
